model	turn	coref_turn1	coref_turn2	coref_turn3	coref_turn4	average
o4-mini	Turn3	72.88	74.25			73.57
o4-mini	Turn4	73.73	77.04	78.69		76.49
o4-mini	Turn5	79.02	79.79	80.31	81.16	80.07
gpt41	Turn3	72.12	75.53			73.83
gpt41	Turn4	72.08	75.19	76.43		74.57
gpt41	Turn5	78.68	75.38	80.92	81.91	79.22
gemini-2.0-flash	Turn3	71.67	76.69			74.18
gemini-2.0-flash	Turn4	70.38	75.6	77.87		74.62
gemini-2.0-flash	Turn5	77.23	79.28	78.99	79.97	78.87
gpt-4o-mini	Turn3	70.91	70.04			70.48
gpt-4o-mini	Turn4	70.57	74.34	72.87		72.59
gpt-4o-mini	Turn5	72.97	73.67	78.11	74.53	74.82
llama3-sft	Turn3	70.43	75.35			72.89
llama3-sft	Turn4	71.17	76.54	80.19		75.97
llama3-sft	Turn5	77.69	79.91	80.47	79.91	79.5
phi-4-sft	Turn3	70.94	76.72			73.83
phi-4-sft	Turn4	69.55	77.28	78.67		75.17
phi-4-sft	Turn5	77.87	80.88	81.68	80.65	80.27
qwen2.5-3b	Turn3	66.71	73.04			69.88
qwen2.5-3b	Turn4	64.89	73.99	78.5		72.46
qwen2.5-3b	Turn5	68.54	73.96	77.74	78.59	74.71
qwen3-4b	Turn3	68.52	77.32			72.92
qwen3-4b	Turn4	68.8	75.02	79.2		74.34
qwen3-4b	Turn5	74.51	80.39	78.98	82.58	79.12
