model	turn	coref_turn1	coref_turn2	coref_turn3	coref_turn4
o4-mini	Turn3	87.06	80.15		
o4-mini	Turn4	87.69	88.92	81.04	
o4-mini	Turn5	81.93	82.8	86.81	86.4
gemini-2.0-flash	Turn3	84.65	82.64		
gemini-2.0-flash	Turn4	85.65	86.47	80.63	
gemini-2.0-flash	Turn5	78.38	79.28	78.99	85.95
llama3-sft	Turn3	82.81	82.01		
llama3-sft	Turn4	85.24	85.33	79.86	
llama3-sft	Turn5	82.79	82.42	83.68	80.1
llama3-sft-rma	Turn3	76.52	79.23		
llama3-sft-rma	Turn4	79.69	78.78	76.89	
llama3-sft-rma	Turn5	79.94	76.74	79.15	79.68
