model	turn	coref_turn1	coref_turn2	coref_turn3	coref_turn4
o4-mini	Turn3	75.5	72.49		
o4-mini	Turn4	78.97	79.33	72.37	
o4-mini	Turn5	79.38	78.64	78.37	74.23
gemini-2.0-flash	Turn3	73.65	73.93		
gemini-2.0-flash	Turn4	75.62	75.61	68.99	
gemini-2.0-flash	Turn5	74.45	73.09	70.59	74.35
llama3-sft	Turn3	70.02	68.81		
llama3-sft	Turn4	73.62	75.34	68.54	
llama3-sft	Turn5	75.08	72.17	71.85	64.49
llama3-sft-rma	Turn3	67.28	66.9		
llama3-sft-rma	Turn4	67.84	68.19	65.4	
llama3-sft-rma	Turn5	69.29	67.7	67.75	63.64
