gt_plan	phi4-rma-addi-complex.tsv|it3_complex_1_tc.tsv	phi4-history-complex.tsv|it3_complex_1_tc.tsv	phi4-rma-addi-complex.tsv|it4_complex_1_tc.tsv	phi4-history-complex.tsv|it4_complex_1_tc.tsv	phi4-rma-addi-complex.tsv|it4_complex_2_tc.tsv	phi4-history-complex.tsv|it4_complex_2_tc.tsv	phi4-rma-addi-complex.tsv|it5_complex_1_tc.tsv	phi4-history-complex.tsv|it5_complex_1_tc.tsv	phi4-rma-addi-complex.tsv|it5_complex_2_tc.tsv	phi4-history-complex.tsv|it5_complex_2_tc.tsv	phi4-rma-addi-complex.tsv|it5_complex_3_tc.tsv	phi4-history-complex.tsv|it5_complex_3_tc.tsv
ACTION_CREATE_DOCUMENT	88.89	95.56	94.12	76.47	100.00	89.74	100.00	100.00	96.55	96.55	97.92	89.58
ACTION_EDIT_ALARM	85.71	80.00	88.89	70.37	81.25	93.75	90.91	81.82	50.00	50.00	71.43	85.71
ACTION_EDIT_CONTACT	92.21	81.82	88.64	80.68	90.55	85.04	96.55	79.31	93.41	85.71	94.37	94.37
ACTION_EDIT_DOCUMENT	16.00	16.00	26.32	26.32	36.36	45.45	41.67	25.00	22.22	22.22	22.86	34.29
ACTION_EDIT_VIDEO	79.27	26.83	78.18	50.91	81.48	62.96	86.11	91.67	92.86	92.86	85.71	67.35
ACTION_GET_RINGTONE	100.00	100.00	97.73	97.73	100.00	100.00	97.62	100.00	100.00	93.75	100.00	100.00
ACTION_INSERT_CONTACT	70.97	41.94	68.75	29.17	89.19	78.38	73.33	70.00	100.00	84.85	94.74	76.32
ACTION_INSERT_EVENT	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACTION_NAVIGATE_TO_LOCATION	84.87	80.67	91.36	76.54	70.24	70.24	92.31	86.54	95.74	76.60	88.73	88.73
ACTION_OPEN_CONTENT	53.78	42.02	41.03	32.05	48.28	28.74	52.94	61.76	54.05	51.35	43.88	37.76
ACTION_SHOW_ALARMS	100.00	100.00	100.00	100.00	88.89	100.00	100.00	100.00	100.00	100.00	100.00	100.00
ACTION_SHOW_TIMERS	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	N/A	N/A	N/A	N/A
ACTION_VIEW_CALL_LOG	100.00	100.00	100.00	100.00	100.00	100.00	N/A	N/A	100.00	100.00	100.00	100.00
ACTION_VIEW_CONTACT	98.65	90.54	93.48	79.35	87.50	85.00	94.74	73.68	92.75	94.20	95.92	97.96
ACTION_VIEW_EVENT	94.59	97.30	88.57	100.00	90.48	100.00	100.00	100.00	95.83	100.00	97.06	97.06
ACTION_VIEW_PLAYLIST	100.00	70.00	100.00	20.00	100.00	38.46	38.46	76.92	70.59	100.00	N/A	N/A
ACTION_VIEW_RECENT_APPS	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	100.00	100.00	100.00
ACTION_VIEW_SENT_EMAILS	100.00	100.00	100.00	94.12	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
ACTION_VIEW_SENT_MESSAGES	92.86	100.00	100.00	75.00	100.00	100.00	76.92	76.92	100.00	100.00	100.00	100.00
ACTION_VIEW_WEB_HISTORY	100.00	100.00	100.00	95.83	100.00	100.00	66.67	100.00	100.00	100.00	92.86	100.00
dial	98.67	81.33	95.08	93.44	98.59	83.10	100.00	94.12	100.00	90.91	100.00	98.21
get_contact_info_from_uri	100.00	0.00	N/A	N/A	100.00	97.06	N/A	N/A	100.00	90.70	96.67	100.00
play_music	87.76	63.27	95.65	36.96	91.30	52.17	83.33	46.67	83.33	77.78	N/A	N/A
play_video	100.00	100.00	100.00	81.82	90.00	96.67	92.00	84.00	100.00	100.00	100.00	100.00
search_location	79.80	73.74	88.75	78.75	82.42	67.03	82.98	74.47	87.50	67.50	86.25	70.00
send_email	69.52	37.14	72.41	58.62	68.42	50.88	68.29	58.54	76.00	65.33	74.00	58.00
send_message	71.64	37.31	78.57	54.08	85.84	61.95	67.39	65.22	81.25	62.50	81.75	65.08
Macro	83.90	70.94	84.14	69.55	84.47	77.28	80.09	77.87	83.83	80.88	84.34	81.68
