conversation_history	query	rewrited_query	answer	unique_idx	refered_turn	candidates
"['turn 1: Create an XML config file named settings.xml. -> Your XML file settings.xml is now available at content://documents/settings.xml.', 'turn 2: Boot up the digital camera app for taking a static image. -> Still image camera is up. Ready to shoot.', 'turn 3: Show me the photo I just captured -> Photo you captured moments ago: content://temp/photo131.jpg', ""turn 4: Create a new image/jpeg document for content://temp/photo131.jpg named PhotoCopy131.jpg -> All set! Your copy 'PhotoCopy131.jpg' has been created at content://documents/PhotoCopy131.jpg.""]"	Open that XML config file	Open content://documents/DraftPage.html	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/settings.xml', 'mime_type': 'application/xml'}}	ACTION_CREATE_DOCUMENT-14-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_CREATE_DOCUMENT-1-ACTION_OPEN_CONTENT-1	1	['ACTION_VIEW_SENT_EMAILS', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_OPEN_CONTENT', 'ACTION_EDIT_ALARM', 'ACTION_GET_RINGTONE']
"[""turn 1: Please create a BMP image named canvas.bmp. -> Your BMP image 'canvas.bmp' has been saved. Access it via content://documents/canvas.bmp"", ""turn 2: Show me content://documents/canvas.bmp -> Displaying BMP image 'canvas.bmp' at content://documents/canvas.bmp."", ""turn 3: I need to choose a person's email address from my contacts. -> All set! Email selected: content://contacts/email/12"", ""turn 4: Set up a reminder for 'Book Club Discussion'. It is a group discussion about the monthly book pick with no particular location. Please schedule it from 1701600000000 to 1701603600000. -> All set! Event 'Book Club Discussion' added to your calendar from 1701600000000 to 1701603600000. You can view it here: content://calendar/event/201""]"	Display that BMP image	Open content://documents/settings.xml	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/canvas.bmp'}}	ACTION_CREATE_DOCUMENT-34-ACTION_OPEN_CONTENT-1-ACTION_PICK-1_NR-ACTION_INSERT_EVENT-1_NR-ACTION_OPEN_CONTENT-1	1	['ACTION_OPEN_CONTENT', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_SET_RINGTONE', 'ACTION_IMAGE_CAPTURE', 'dial']
"['turn 1: Please generate a JPEG image and call it ProfilePic.jpg. -> Your JPEG image “ProfilePic.jpg” is all set at content://documents/ProfilePic.jpg.', ""turn 2: I would like to film something. Could you open my phone's video camera? -> Your phone’s video camera is active—start recording anytime."", 'turn 3: Record and save to content://mygallery/video1.mp4. -> Great! Your video has been captured and saved at content://mygallery/video1.mp4.', 'turn 4: Extract the segment from 5 seconds to 25 seconds and mute content://mygallery/video1.mp4 -> Here’s the segment you requested from 5s to 25s, with audio muted: content://mygallery/video1_clip.mp4.']"	View that JPEG image	Display content://documents/canvas.bmp	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/ProfilePic.jpg', 'mime_type': 'image/jpeg'}}	ACTION_CREATE_DOCUMENT-20-INTENT_ACTION_VIDEO_CAMERA-1_NR-ACTION_VIDEO_CAPTURE-1-ACTION_EDIT_VIDEO-1-ACTION_OPEN_CONTENT-1	1	['get_contact_info_from_uri', 'ACTION_CREATE_DOCUMENT', 'ACTION_SET_TIMER', 'ACTION_OPEN_CONTENT', 'ACTION_GET_CONTENT']
"['turn 1: Please generate a JPEG image and call it ProfilePic.jpg. -> Your JPEG image “ProfilePic.jpg” is all set at content://documents/ProfilePic.jpg.', ""turn 2: I would like to film something. Could you open my phone's video camera? -> Your phone’s video camera is active—start recording anytime."", 'turn 3: Choose a video clip for immediate sharing -> Sure thing! Here’s the clip ready to share: content://temp/shared_video.mp4', 'turn 4: Trim content://temp/shared_video.mp4 from 10 seconds to 40 seconds -> Done trimming from 0:10 to 0:40. Your clip is at content://temp/shared_video_10-40s.mp4.']"	Show me that picture	Open content://documents/icon.svg for editing.	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/ProfilePic.jpg', 'mime_type': 'image/jpeg'}}	ACTION_CREATE_DOCUMENT-20-INTENT_ACTION_VIDEO_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_EDIT_VIDEO-1-ACTION_OPEN_CONTENT-1	1	['ACTION_PICK', 'ACTION_OPEN_CONTENT', 'ACTION_SET_ALARM', 'ACTION_VIEW_SENT_EMAILS', 'search_location']
['turn 1: I want to save a draft web page as DraftPage.html. -> DraftPage.html is ready for you at content://documents/DraftPage.html.', 'turn 2: Could you activate the still photo camera on my phone? -> Still photo camera is now running—ready to click!', 'turn 3: I need to check what timers are still ticking. Could you display them? -> Currently ticking timers: [8 minutes – Laundry, 20 minutes – Team meeting reminder]', 'turn 4: Begin a 15-minute timer for stretch break and skip the UI of the 15-minute timer for stretch break -> 15-minute stretch break timer started immediately, skipping the UI.']	Open that draft page	View content://documents/ProfilePic.jpg	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/DraftPage.html'}}	ACTION_CREATE_DOCUMENT-12-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_SHOW_TIMERS-1_NR-ACTION_SET_TIMER-1-ACTION_OPEN_CONTENT-1	1	['ACTION_OPEN_CONTENT', 'ACTION_VIDEO_CAPTURE', 'ACTION_VIEW_RECENT_APPS', 'ACTION_CREATE_DOCUMENT', 'ACTION_PICK']
"[""turn 1: I'd like to create a new PowerPoint slide deck titled DraftDeck.pptx. -> DraftDeck.pptx is ready! You can find it here: content://documents/DraftDeck.pptx."", 'turn 2: Add a title slide and a summary slide to content://documents/DraftDeck.pptx. -> Done! DraftDeck.pptx now includes a title slide and a summary slide. You can edit it at content://documents/DraftDeck.pptx.', 'turn 3: I want to choose more than one image at once. Please open a multi-select dialog for images. -> Here’s the multi-select image picker—feel free to pick all the photos you want.', 'turn 4: I want to take a photo. Launch my still camera. -> Still image camera opened. You can start taking photos now.']"	Open that deck	Open an Excel spreadsheet	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/DraftDeck.pptx', 'mime_type': 'application/vnd.openxmlformats-officedocument.presentationml.presentation'}}	ACTION_CREATE_DOCUMENT-16-ACTION_EDIT_DOCUMENT-1-ACTION_OPEN_DOCUMENT-1_NR-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_OPEN_CONTENT-1	1	['ACTION_GET_RINGTONE', 'ACTION_EDIT_DOCUMENT', 'ACTION_GET_CONTENT', 'ACTION_OPEN_DOCUMENT', 'ACTION_OPEN_CONTENT']
"[""turn 1: I want a WAV audio file titled audio_sample.wav. -> I've created your WAV file 'audio_sample.wav'. You can open it at content://documents/audio_sample.wav"", ""turn 2: Play content://documents/audio_sample.wav -> Now playing 'audio_sample.wav' from content://documents/audio_sample.wav."", 'turn 3: Could you pull up an email address from my directory? -> I’ve got an email address for you: content://contacts/email/8', 'turn 4: Update the name of content://contacts/email/8 to Elizabeth Taylor -> All done! The name for content://contacts/email/8 is now Elizabeth Taylor.']"	Play it	Show me content://documents/ProfilePic.jpg	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/audio_sample.wav', 'mime_type': 'audio/wav'}}	ACTION_CREATE_DOCUMENT-35-ACTION_OPEN_CONTENT-1-ACTION_PICK-1_NR-ACTION_EDIT_CONTACT-1-ACTION_OPEN_CONTENT-1	1	['ACTION_SHOW_ALARMS', 'ACTION_PICK', 'play_music', 'ACTION_OPEN_CONTENT', 'launch_application']
['turn 1: Create an XML config file named settings.xml. -> Your XML file settings.xml is now available at content://documents/settings.xml.', 'turn 2: Boot up the digital camera app for taking a static image. -> Still image camera is up. Ready to shoot.', 'turn 3: Show me the photo I just captured -> Photo you captured moments ago: content://temp/photo131.jpg', 'turn 4: Mute content://temp/photo131.jpg -> Audio stripped from your video! Download the muted file here: content://media/edited_photo131_009.mp4.']	Open that XML config file now	Open content://documents/DraftPage.html.	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/settings.xml', 'mime_type': 'application/xml'}}	ACTION_CREATE_DOCUMENT-14-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_EDIT_VIDEO-1-ACTION_OPEN_CONTENT-1	1	['ACTION_CREATE_DOCUMENT', 'ACTION_OPEN_CONTENT', 'web_search', 'INTENT_ACTION_VIDEO_CAMERA', 'INTENT_ACTION_STILL_IMAGE_CAMERA']
"['turn 1: Generate an SVG icon file named icon.svg. -> SVG icon generated successfully. You can edit it here: content://documents/icon.svg', 'turn 2: Open content://documents/icon.svg and change its fill color to green -> Fill color has been changed to green in icon.svg. Your updated icon is ready at content://documents/icon.svg.', 'turn 3: Please check the contact record at contact://record/phone/+441234567890. -> Certainly! I found this number: +44 1234 567 890.', ""turn 4: Could you fetch the details using content URI 'contact://details/alpha'? -> Here are the details for 'alpha': Alpha Wayne – (415)\xa0555‑0198.""]"	Open that SVG icon for editing.	Play content://documents/audio_sample.wav	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/icon.svg'}}	ACTION_CREATE_DOCUMENT-44-ACTION_EDIT_DOCUMENT-1-get_contact_info_from_uri-1_NR-get_contact_info_from_uri-1_NR-ACTION_OPEN_CONTENT-1	1	['ACTION_OPEN_CONTENT', 'get_contact_info', 'ACTION_SET_ALARM', 'ACTION_SET_RINGTONE', 'ACTION_IMAGE_CAPTURE']
"[""turn 1: Please set up an MP4 video file called intro_video.mp4. -> Intro video 'intro_video.mp4' created successfully. Find it at content://videos/intro_video.mp4"", ""turn 2: Show me content://videos/intro_video.mp4. -> Playing 'intro_video.mp4' from content://videos/intro_video.mp4."", 'turn 3: I want to review the internal storage details; please open the corresponding settings screen. -> Internal storage settings opened. You can review usage and manage your files now.', ""turn 4: I am about to record an event. Open my phone's video recording application. -> Video recording mode launched. Feel free to start recording.""]"	Play it now	Play content://videos/intro_video.mp4 now	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://videos/intro_video.mp4'}}	ACTION_CREATE_DOCUMENT-37-ACTION_OPEN_CONTENT-1-open_settings-1_NR-INTENT_ACTION_VIDEO_CAMERA-1_NR-ACTION_OPEN_CONTENT-1	1	['ACTION_CREATE_DOCUMENT', 'ACTION_VIEW_PLAYLIST', 'ACTION_INSERT_CONTACT', 'dial', 'ACTION_OPEN_CONTENT']
