	it2_NR_train.tsv	it2_nonNR_train.tsv	it3_NR_train.tsv	it3_nonNR_train.tsv	it4_NR_train.tsv	it4_nonNR_train.tsv	it5_NR_train.tsv	it5_nonNR_train.tsv
INTENT_ACTION_VIDEO_CAMERA	9.78	0.0	9.83	0.0	9.83	0.0	9.3	0.0
ACTION_PICK	9.78	0.0	9.54	0.0	9.83	0.0	9.86	0.0
get_contact_info_from_uri	9.78	0.0	8.96	1.81	9.83	3.07	9.3	2.31
open_settings	9.78	0.0	9.25	0.0	9.83	0.0	9.86	0.0
ACTION_OPEN_DOCUMENT	9.78	0.0	9.54	0.0	9.83	0.0	9.86	0.0
get_contact_info	9.78	0.0	9.83	0.0	9.83	0.0	9.86	0.0
INTENT_ACTION_STILL_IMAGE_CAMERA	9.78	0.0	10.12	0.0	9.83	0.0	9.86	0.0
ACTION_INSERT_EVENT	7.82	2.68	8.09	0.91	7.87	2.4	7.89	3.78
launch_application	5.87	4.02	6.07	0.65	5.9	3.34	5.92	0.0
ACTION_VIEW_WEB_HISTORY	4.75	0.0	4.91	2.2	4.78	1.2	4.79	0.0
ACTION_SHOW_TIMERS	3.91	3.13	4.05	2.85	3.93	3.74	3.94	0.0
web_search	3.91	5.51	4.05	3.37	3.93	5.21	3.94	0.63
ACTION_SET_RINGTONE	1.96	1.04	2.02	2.72	1.97	0.53	1.97	1.89
ACTION_SET_ALARM	1.68	0.6	2.02	1.42	1.12	1.2	1.97	2.1
ACTION_EDIT_DOCUMENT	0.84	4.62	0.87	5.31	0.84	2.8	0.85	5.25
ACTION_VIEW_SENT_MESSAGES	0.84	1.04	0.87	0.0	0.84	0.27	0.85	0.0
ACTION_VIEW_CONTACT	0.0	7.45	0.0	4.02	0.0	4.67	0.0	6.72
ACTION_EDIT_ALARM	0.0	7.45	0.0	6.35	0.0	1.87	0.0	0.42
ACTION_EDIT_VIDEO	0.0	7.3	0.0	0.91	0.0	4.67	0.0	2.31
ACTION_CREATE_DOCUMENT	0.0	5.51	0.0	1.81	0.0	3.07	0.0	3.15
play_video	0.0	5.37	0.0	6.48	0.0	0.93	0.0	5.25
ACTION_VIEW_EVENT	0.0	5.22	0.0	4.92	0.0	4.14	0.0	0.84
play_music	0.0	4.02	0.0	1.68	0.0	3.07	0.0	0.84
ACTION_GET_RINGTONE	0.0	4.02	0.0	1.68	0.0	2.67	0.0	0.84
ACTION_NAVIGATE_TO_LOCATION	0.0	3.28	0.0	4.53	0.0	4.27	0.0	9.24
ACTION_OPEN_CONTENT	0.0	3.13	0.0	4.4	0.0	4.67	0.0	7.56
send_message	0.0	3.13	0.0	3.89	0.0	4.67	0.0	7.35
search_location	0.0	3.13	0.0	4.15	0.0	4.01	0.0	6.51
send_email	0.0	2.68	0.0	4.53	0.0	4.14	0.0	7.35
ACTION_GET_CONTENT	0.0	2.68	0.0	0.91	0.0	2.8	0.0	0.0
ACTION_IMAGE_CAPTURE	0.0	1.79	0.0	2.07	0.0	0.93	0.0	0.21
dial	0.0	1.79	0.0	4.15	0.0	4.67	0.0	7.14
ACTION_VIEW_SENT_EMAILS	0.0	1.64	0.0	0.52	0.0	1.07	0.0	0.0
ACTION_SHOW_ALARMS	0.0	1.64	0.0	3.24	0.0	2.14	0.0	0.0
ACTION_VIDEO_CAPTURE	0.0	1.19	0.0	1.55	0.0	1.2	0.0	0.84
ACTION_INSERT_CONTACT	0.0	1.04	0.0	5.7	0.0	5.74	0.0	5.25
ACTION_EDIT_CONTACT	0.0	0.89	0.0	2.98	0.0	4.67	0.0	9.66
ACTION_VIEW_PLAYLIST	0.0	0.75	0.0	3.37	0.0	1.47	0.0	0.21
ACTION_SET_TIMER	0.0	0.6	0.0	1.94	0.0	2.27	0.0	0.21
ACTION_VIEW_RECENT_APPS	0.0	0.45	0.0	2.98	0.0	1.2	0.0	1.89
ACTION_VIEW_CALL_LOG	0.0	1.19	0.0	0.0	0.0	1.2	0.0	0.21
TOTAL_RECORDS	358.0	671.0	346.0	772.0	356.0	749.0	355.0	476.0
